level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
3	1	23	1	0	0	52	737	202	16	-1	
4	1	23	1	1	0	52	737	202	16	-1	
5	1	23	1	1	1	52	737	14	14	85.631577	>_
5	1	23	1	1	2	82	738	40	15	0.000000	Debug
5	1	23	1	1	3	127	730	50	29	0.000000	Console
5	1	23	1	1	4	198	740	15	9	48.681011	116
5	1	23	1	1	5	218	730	41	29	50.036171	entries,
2	1	24	0	0	0	333	700	465	100	-1	
3	1	24	1	0	0	333	700	465	100	-1	
4	1	24	1	1	0	333	700	465	100	-1	
5	1	24	1	1	1	333	700	465	100	95.000000	 
